Progress,Duration (in seconds),Finished,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_4_TEXT,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17,Q18,Q19_12,Q18,Q21,Q22,Q23,Q24,SC0,Q11_4_TEXT - Parent Topics,Q11_4_TEXT - Topics
Progress,Duration (in seconds),Finished,Please indicate your gender:,What's your affiliation with UC San Diego?,Please indicate your ethnicity:,Are you a vegetarian?,"How
often do you eat Chinese food?","Would you like to try a Chinese restaurant? If not, why?",Do you know the restaurant Taste of Hunan?,How much do you like spicy food?,How many meals do you purchase on campus every week?,Where do you go for meals most often during weekdays? - Selected Choice,Where do you go for meals most often during weekdays? - Other places on campus - Text,What is the average price that you pay for a meal on campus?,What is the highest price (including taxes) that you will pay for a meal?,What is the longest time you would wait for a meal on campus?,"Regarding your preference for restaurants on campus, indicate the importance of each of the following aspects: - Service Attitude","Regarding your preference for restaurants on campus, indicate the importance of each of the following aspects: - Serving Speed","Regarding your preference for restaurants on campus, indicate the importance of each of the following aspects: - Environment","Regarding your preference for restaurants on campus, indicate the importance of each of the following aspects: - Food Quality",How do you learn about the opening of a new restaurant?,Have you ever ordered delivery food?,"On average, how often do you order delivery food?","Overall, to what extent are you satisfied with food delivery service? - Please drag the bar to show your satisfaction level.",Please indicate the features you are unsatisfied with the delivery food. (choose all that apply),"What
is your preferred price range for delivery food? (Tax and tip included)”","Now there is a new choice: You need to place an order for your delivery one night in advance. The next morning, your food will be delivered to the designated place on time without waiting. Do you prefer this new choice?","Now there is a new choice: You need to place an order for your delivery one night in advance. The next morning, your food will be delivered to the designated place on time without waiting. Do you prefer this new choice?",Whatis your preferred price range for delivery food? (Tax and tip included)”,Score,Q11_4_TEXT - Parent Topics,Q11_4_TEXT - Topics
100,134,1,2,5,2,2,3,,4,4,1,1,,2,3,4,3,2,4,4,1,1,13,70,"1,2,3",2,2,,,45,,
100,104,1,2,5,2,2,2,,4,4,2,1,,1,2,2,2,1,2,1,1,1,16,65,"1,3",3,1,,,45,,
100,110,1,1,5,2,2,2,,4,2,2,1,,1,4,1,2,1,2,1,1,1,15,81,2,2,1,,,47,,
100,176,1,2,5,2,2,1,,4,3,1,1,,1,2,2,2,2,2,1,1,2,,,,,,1,1,37,,
100,468,1,2,5,2,2,2,,4,1,1,1,,1,2,2,2,1,3,2,1,1,16,50,"1,2,3,6",3,1,,,51,,
100,143,1,1,5,2,2,2,,4,2,2,5,,2,4,2,1,1,2,1,1,1,16,50,1,4,1,,,54,,
100,129,1,1,5,2,1,6,5,6,5,1,5,,1,1,1,1,1,1,1,3,2,,,,,,2,2,45,,
100,429,1,2,5,2,2,1,,4,1,3,1,,1,1,1,4,2,3,1,1,1,16,25,"1,2",1,2,,,40,,
100,97,1,2,5,2,2,2,,6,4,1,2,,1,1,4,3,2,2,2,1,1,16,73,2,1,2,,,40,,
